Local time,Open,High,Low,Close,Volume
07.10.2020 23:00:00.000 GMT+0200,1.17600,1.17816,1.17326,1.17582,1112217.6882
08.10.2020 23:00:00.000 GMT+0200,1.17587,1.18310,1.17568,1.18248,1054360.1831999999
11.10.2020 23:00:00.000 GMT+0200,1.18103,1.18266,1.17867,1.18120,959558.4678
12.10.2020 23:00:00.000 GMT+0200,1.18120,1.18155,1.17304,1.17440,1191270.3110999998
13.10.2020 23:00:00.000 GMT+0200,1.17452,1.17710,1.17199,1.17452,1146763.6835
14.10.2020 23:00:00.000 GMT+0200,1.17452,1.17578,1.16884,1.17073,1052065.2001
15.10.2020 23:00:00.000 GMT+0200,1.17073,1.17462,1.16939,1.17132,952925.3259
18.10.2020 23:00:00.000 GMT+0200,1.17181,1.17936,1.17031,1.17695,682296.6846
19.10.2020 23:00:00.000 GMT+0200,1.17695,1.18407,1.17598,1.18211,799622.3074999999
20.10.2020 23:00:00.000 GMT+0200,1.18214,1.18807,1.18209,1.18598,949038.4269999998
21.10.2020 23:00:00.000 GMT+0200,1.18569,1.18668,1.18114,1.18177,932813.0827999999
22.10.2020 23:00:00.000 GMT+0200,1.18177,1.18648,1.17866,1.18572,904441.4873000002
25.10.2020 22:00:00.000 GMT+0100,1.18546,1.18605,1.18032,1.18086,839654.8307
26.10.2020 22:00:00.000 GMT+0100,1.18090,1.18387,1.17927,1.17950,787344.9201000001
27.10.2020 22:00:00.000 GMT+0100,1.17949,1.17978,1.17178,1.17457,1065411.0096
28.10.2020 22:00:00.000 GMT+0100,1.17457,1.17587,1.16501,1.16731,780361.9985000001
29.10.2020 22:00:00.000 GMT+0100,1.16743,1.17042,1.16400,1.16431,917926.6913999999
01.11.2020 23:00:00.000 GMT+0100,1.16498,1.16557,1.16221,1.16404,825009.7200000001
02.11.2020 23:00:00.000 GMT+0100,1.16404,1.17397,1.16318,1.17150,652729.0692
03.11.2020 23:00:00.000 GMT+0100,1.17150,1.17704,1.16026,1.17244,1304116.2713
04.11.2020 23:00:00.000 GMT+0100,1.17251,1.18596,1.17107,1.18268,953757.4940000003
05.11.2020 23:00:00.000 GMT+0100,1.18268,1.18908,1.17952,1.18700,512782.1572000001
08.11.2020 23:00:00.000 GMT+0100,1.18898,1.19199,1.17952,1.18127,698296.3085000002
09.11.2020 23:00:00.000 GMT+0100,1.18124,1.18432,1.17799,1.18127,628651.9735000001
10.11.2020 23:00:00.000 GMT+0100,1.18127,1.18327,1.17454,1.17771,427459.8659
11.11.2020 23:00:00.000 GMT+0100,1.17771,1.18231,1.17585,1.18041,452031.20850000007
12.11.2020 23:00:00.000 GMT+0100,1.18039,1.18374,1.17989,1.18310,383459.323
15.11.2020 23:00:00.000 GMT+0100,1.18411,1.18689,1.18141,1.18516,391986.72000000003
16.11.2020 23:00:00.000 GMT+0100,1.18509,1.18937,1.18425,1.18612,337998.86730000004
17.11.2020 23:00:00.000 GMT+0100,1.18607,1.18908,1.18491,1.18526,358563.176
18.11.2020 23:00:00.000 GMT+0100,1.18526,1.18825,1.18161,1.18745,412653.6540000001
19.11.2020 23:00:00.000 GMT+0100,1.18745,1.18908,1.18498,1.18544,393869.04880000005
